exit_status,runid,read_id,filename,barcode,accuracy,identity,model,name,start,end,coverage,URL,categories,seq_id,seq_len,taxon,taxon_id,cluster_id
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,a626c2f8-c7c4-4b12-9323-28aa3376d85a,highQuality-reads100_batch5_57.fastq,none,73,85.48,rRNA mutation model,Helicobacter pylori 16S rRNA mutation conferring resistance to tetracycline,417,758,59.928,https://card.mcmaster.ca/ontology/40112,tetracycline resistance gene. antibiotic resistant gene variant or mutant,2355,1501,Helicobacter pylori 26695,85962,153
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,1115f0b9-9500-40fb-8055-ae5d2c610133,highQuality-reads100_batch5_57.fastq,none,77.51,85.34,rRNA mutation model,Chlamydophila psittaci 16S rRNA mutation conferring resistance to spectinomycin,0,325,70.175,https://card.mcmaster.ca/ontology/40087,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2325,1507,Chlamydia psittaci 6BC,331636,152
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,3a915f37-fe01-4bc7-be25-d6d3bf38290c,highQuality-reads100_batch5_57.fastq,none,74.04,82.83,rRNA mutation model,Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to streptomycin,5,1534,99.48,https://card.mcmaster.ca/ontology/40076,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2315,1537,Mycobacterium tuberculosis H37Rv,83332,146
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,fcf3372a-a8e7-4222-9428-508de139c9de,highQuality-reads100_batch5_57.fastq,none,71.45,81.01,protein homolog model,Streptomyces cinnamoneus EF-Tu mutants conferring resistance to elfamycin,228,812,71.207,https://card.mcmaster.ca/ontology/39943,elfamycin resistance gene. antibiotic resistant gene variant or mutant. gene involved in self resistance to antibiotic,0015,1194,Streptomyces cinnamoneus,53446,265
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,8431cf6e-e490-4aad-b3cf-a4fa8cf4936e,highQuality-reads100_batch5_57.fastq,none,69.75,80.89,rRNA mutation model,Chlamydophila psittaci 16S rRNA mutation conferring resistance to spectinomycin,243,1409,77.372,https://card.mcmaster.ca/ontology/40087,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2325,1507,Chlamydia psittaci 6BC,331636,152
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,77d0bf84-e017-4fc1-84a1-f04e755a14ea,highQuality-reads100_batch5_57.fastq,none,75.38,85.22,rRNA mutation model,Mycobacterium abscessus 16S rRNA mutation conferring resistance to gentamicin,855,1098,16.999,https://card.mcmaster.ca/ontology/39824,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2342,1504,Mycobacterium abscessus,36809,146
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,6d9a5478-590b-4aa3-90b3-9b8683a3210f,highQuality-reads100_batch5_57.fastq,none,72.27,80.68,rRNA mutation model,Helicobacter pylori 16S rRNA mutation conferring resistance to tetracycline,125,1284,77.215,https://card.mcmaster.ca/ontology/40112,tetracycline resistance gene. antibiotic resistant gene variant or mutant,2355,1501,Helicobacter pylori 26695,85962,153
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,2e856281-2812-457c-89aa-1317cb6bccf8,highQuality-reads100_batch5_57.fastq,none,67.92,80.85,rRNA mutation model,Neisseria gonorrhoeae 16S rRNA mutation conferring resistance to spectinomycin,321,1200,56.893,https://card.mcmaster.ca/ontology/40097,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2323,1545,Neisseria gonorrhoeae,485,141
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,2e0af803-124f-4960-9dce-1f892d6cc379,highQuality-reads100_batch5_57.fastq,none,76.61,83.8,rRNA mutation model,Escherichia coli 16S rRNA mutation in the rrnB gene conferring resistance to spectinomycin,273,1541,82.231,https://card.mcmaster.ca/ontology/39961,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2313,1542,Escherichia coli K-12,83333,141
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,7a731980-91d2-4fae-9880-c4d6307e3c5c,highQuality-reads100_batch5_57.fastq,none,72.58,82.85,rRNA mutation model,Helicobacter pylori 16S rRNA mutation conferring resistance to tetracycline,125,1278,76.815,https://card.mcmaster.ca/ontology/40112,tetracycline resistance gene. antibiotic resistant gene variant or mutant,2355,1501,Helicobacter pylori 26695,85962,153
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,e965d13e-5e8f-4fd1-a56f-11bb6ac5ed73,highQuality-reads100_batch5_57.fastq,none,76.08,79.5,protein variant model,Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin,28,1045,82.683,https://card.mcmaster.ca/ontology/39953,elfamycin resistance gene. antibiotic resistant gene variant or mutant,2259,1230,Escherichia coli CFT073,199310,242
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,a896562f-26c5-4975-9f9f-81008783b7be,highQuality-reads100_batch5_57.fastq,none,68.12,75.09,protein variant model,Escherichia coli rpoB mutants conferring resistance to rifampicin,1324,2729,47.65,https://card.mcmaster.ca/ontology/39872,antibiotic resistant gene variant or mutant. rifampin resistance gene,2261,4030,Escherichia coli O157:H7 str. Sakai,386585,2
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,7e43843d-8bb8-45df-b21f-e7a618da9e1c,highQuality-reads100_batch5_57.fastq,none,84.76,90.36,rRNA mutation model,Neisseria meningitidis 16S rRNA mutation conferring resistance to spectinomycin,0,1544,100,https://card.mcmaster.ca/ontology/40099,aminoglycoside resistance gene. antibiotic resistant gene variant or mutant,2343,1544,Neisseria meningitidis,487,141
Workflow successful,94c6938002a133b5dd02845ae2206adc8ec4f2d8,44581d43-5e56-4b3e-a36f-656632a1ebb8,highQuality-reads100_batch5_57.fastq,none,80.91,87.78,rRNA mutation model,Escherichia coli 16S rRNA mutation in the rrnB gene conferring resistance to tetracycline,763,1385,96.497,https://card.mcmaster.ca/ontology/39995,tetracycline resistance gene. antibiotic resistant gene variant or mutant,2341,1542,Escherichia coli K-12,83333,141
